"Position","Acc_sway_max","Acc_sway_85","Acc_sway_median","Acc_sway_mean","Acc_sway_min","Driver_ID"
105,0.14,-0.19,-0.25,-0.23047619047619,-0.33,"Driver04"
115,0.2,-0.213,-0.35,-0.288636363636364,-0.41,"Driver04"
125,0.11,-0.18,-0.235,-0.229545454545455,-0.33,"Driver04"
135,0.08,-0.35,-0.4,-0.358571428571429,-0.44,"Driver04"
145,0,-0.1515,-0.185,-0.215909090909091,-0.45,"Driver04"
155,0.19,-0.13,-0.15,-0.137142857142857,-0.23,"Driver04"
165,-0.12,-0.12,-0.13,-0.137272727272727,-0.18,"Driver04"
175,0.11,-0.12,-0.12,-0.110454545454545,-0.17,"Driver04"
185,0.14,-0.21,-0.27,-0.231428571428571,-0.29,"Driver04"
195,-0.09,-0.1,-0.125,-0.142272727272727,-0.24,"Driver04"
-195,0.26,-0.24,-0.32,-0.272857142857143,-0.46,"Driver05"
-185,-0.23,-0.24,-0.25,-0.265909090909091,-0.34,"Driver05"
-175,0.27,-0.21,-0.245,-0.218636363636364,-0.41,"Driver05"
-165,0.24,-0.28,-0.31,-0.276666666666667,-0.37,"Driver05"
-155,-0.29,-0.37,-0.48,-0.469047619047619,-0.59,"Driver05"
-145,-0.36,-0.4245,-0.575,-0.533636363636364,-0.63,"Driver05"
-135,-0.05,-0.08,-0.16,-0.176666666666667,-0.33,"Driver05"
-125,0.18,0.15,0.09,0.0704761904761905,-0.05,"Driver05"
-115,0.21,0.19,0.11,0.114545454545455,0.02,"Driver05"
-105,0.01,-0.03,-0.08,-0.0852380952380952,-0.2,"Driver05"
-95,-0.21,-0.23,-0.285,-0.281363636363636,-0.35,"Driver05"
-85,0.2,-0.33,-0.47,-0.406190476190476,-0.56,"Driver05"
-75,-0.37,-0.37,-0.385,-0.396818181818182,-0.46,"Driver05"
-65,0.18,-0.33,-0.43,-0.383333333333333,-0.66,"Driver05"
-55,-0.38,-0.4,-0.42,-0.423809523809524,-0.47,"Driver05"
-45,-0.25,-0.2845,-0.345,-0.336818181818182,-0.38,"Driver05"
-35,-0.16,-0.17,-0.21,-0.204285714285714,-0.25,"Driver05"
-25,0.02,-0.15,-0.23,-0.205909090909091,-0.34,"Driver05"
-15,-0.09,-0.1,-0.14,-0.14,-0.21,"Driver05"
-5,0.21,0.17,0.08,0.0642857142857143,-0.09,"Driver05"
5,0.3,0.3,0.29,0.281363636363636,0.22,"Driver05"
15,0.29,0.28,0.27,0.215238095238095,0.07,"Driver05"
25,0.06,0.0285,-0.09,-0.0954545454545455,-0.33,"Driver05"
35,0.02,-0.3,-0.39,-0.37,-0.51,"Driver05"
45,-0.11,-0.36,-0.37,-0.353181818181818,-0.44,"Driver05"
55,-0.27,-0.34,-0.34,-0.338095238095238,-0.36,"Driver05"
65,-0.07,-0.34,-0.45,-0.400454545454545,-0.48,"Driver05"
75,-0.46,-0.46,-0.49,-0.49047619047619,-0.53,"Driver05"
85,-0.25,-0.29,-0.4,-0.405238095238095,-0.53,"Driver05"
95,-0.01,-0.02,-0.075,-0.0872727272727273,-0.19,"Driver05"
105,0,0,0,-0.0166666666666667,-0.05,"Driver05"
115,0.07,-0.06,-0.11,-0.0872727272727273,-0.12,"Driver05"
125,-0.12,-0.1215,-0.19,-0.175909090909091,-0.21,"Driver05"
135,-0.11,-0.12,-0.16,-0.154285714285714,-0.2,"Driver05"
145,0.1,-0.06,-0.08,-0.0704761904761905,-0.12,"Driver05"
155,-0.05,-0.05,-0.05,-0.05,-0.05,"Driver05"
165,-0.05,-0.05,-0.05,-0.0540909090909091,-0.08,"Driver05"
175,-0.08,-0.08,-0.1,-0.0971428571428571,-0.12,"Driver05"
185,-0.12,-0.12,-0.13,-0.149545454545455,-0.22,"Driver05"
195,-0.22,-0.24,-0.29,-0.282380952380952,-0.33,"Driver05"
